PostalCode,Borough,Neighborhood2,Neighborhood
M8W,Etobicoke,"Alderwood, Long Branch","Alderwood, Long Branch"
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North","The Kingsway, Montgomery Road, Old Mill North"
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East","Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West","Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
M9A,Etobicoke,Islington Avenue,Islington Avenue
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale","West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood","Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
M9L,North York,Humber Summit,Humber Summit
M9M,North York,"Humberlea, Emery","Humberlea, Emery"
M9N,York,Weston,Weston
M9P,Etobicoke,Westmount,Westmount
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens","Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens","South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
M9W,Etobicoke,Northwest,Northwest
